PLATE,STATE,LICENSE_TYPE,SUMMONS_NUMBER,ISSUE_DATE,VIOL AMTION_TIME,VIOLATION,FINE_AMOUNT,PENALTY_AMOUNT,INTEREST_AMOUNT,REDUCTION_AMOUNT,PAYMENT_AMOUNT,AMOUNT_DUE,PRECINCT,COUNTY,ISSUING_AGENCY,VIOLATION_STATUS,SUMMONS_IMAGE
HSE1139,NY,PAS,1453321883,11/1/2021,8:55 AM,SIDEWALK,115,0,0,115,0,0,46,BX,PARKS DEPARTMENT,HEARING HELD-NOT GUILTY,http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VMTZUWGxOVkdjMFRYYzlQUT09&locationName=_____________________
KSP3324,NY,PAS,8514434743,11/1/2021,11:12 AM,INSP. STICKER-EXPIRED/MISSING,65,0,0,0,65,0,107,Q,TRAFFIC,,http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVFNUVVWHBPUkdNd1RYYzlQUT09&locationName=_____________________
AN37611,CT,PAS,8519399850,11/1/2021,8:05 AM,NO PARKING-DAY/TIME LIMITS,60,0,0,0,60,0,108,Q,TRAFFIC,,http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVFOVVUVFZQVkdjeFRVRTlQUT09&locationName=_____________________
G456RT,NY,PAS,8625397554,11/1/2021,10:56 AM,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,35,0,114,Q,TRAFFIC,,http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVVNVVUVFZPZWxVeFRrRTlQUT09&locationName=_____________________
JFJ5450,NY,PAS,8660000043,11/1/2021,1:21 PM,CROSSWALK,115,0,0,0,115,0,63,K,TRAFFIC,,http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk1rMUVRWGROUkVFd1RYYzlQUT09&locationName=_____________________
JRH7084,NY,PAS,8772195964,11/1/2021,12:50 PM,EXPIRED MUNI METER,35,0,0,0,35,0,115,Q,TRAFFIC,,http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak0wMXFSVFZPVkdzeVRrRTlQUT09&locationName=_____________________
93051ME,NY,COM,8791744428,11/1/2021,2:44 PM,INSP. STICKER-EXPIRED/MISSING,65,0,0,0,65,0,108,Q,TRAFFIC,,http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5VMVVZekJPUkZGNVQwRTlQUT09&locationName=_____________________
JDB7254,NY,PAS,8806597036,11/1/2021,12:23 PM,NO STANDING-DAY/TIME LIMITS,115,0,0,0,115,0,94,K,TRAFFIC,,http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmQwNXFWVFZPZWtGNlRtYzlQUT09&locationName=_____________________
JHG6332,NY,PAS,8806597073,11/1/2021,12:43 PM,NO STANDING-EXC. TRUCK LOADING,95,0,0,0,95,0,94,K,TRAFFIC,,http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmQwNXFWVFZPZWtFelRYYzlQUT09&locationName=_____________________
B31MXX,NJ,PAS,8806597140,11/1/2021,12:58 PM,NO STANDING-BUS STOP,115,0,0,0,115,0,94,K,TRAFFIC,,http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbmQwNXFWVFZPZWtVd1RVRTlQUT09&locationName=_____________________
